Default;CloD internal name;Class;TV Type;TV Name;TV Pilot Name;TV Shape
*;UndefinedAircraft;Aircraft;Air+FixedWing;Plane;Plane;
;bob:Aircraft.AnsonMkI;Aircraft;Air+FixedWing;AnsonMkI;Anson MkI;FixedWing.Mosquito.obj
;tobruk:Aircraft.BeaufighterMkIC;Aircraft;Air+FixedWing;BeaufighterMkIC;Beaufighter MkI;FixedWing.Mosquito.obj
;tobruk:Aircraft.BeaufighterMkIC_Trop;Aircraft;Air+FixedWing;BeaufighterMkIC_Trop;Beaufighter MkI;FixedWing.Mosquito.obj
;bob:Aircraft.BeaufighterMkIF;Aircraft;Air+FixedWing;BeaufighterMkIF;Beaufighter MkI;FixedWing.Mosquito.obj
;tobruk:Aircraft.BeaufighterMkIF_Late;Aircraft;Air+FixedWing;BeaufighterMkIF_Late;Beaufighter MkI;FixedWing.Mosquito.obj
;tobruk:Aircraft.BeaufighterMkIF_Late_Trop;Aircraft;Air+FixedWing;BeaufighterMkIF_Late_Trop;Beaufighter MkI;FixedWing.Mosquito.obj
;bob:Aircraft.BeaufighterMkINF;Aircraft;Air+FixedWing;BeaufighterMkINF;Beaufighter MkI;FixedWing.Mosquito.obj
;tobruk:Aircraft.BeaufighterMkINF_Late;Aircraft;Air+FixedWing;BeaufighterMkINF_Late;Beaufighter MkI;FixedWing.Mosquito.obj
;tobruk:Aircraft.BeaufighterMkINF_Late_Trop;Aircraft;Air+FixedWing;BeaufighterMkINF_Late_Trop;Beaufighter MkI;FixedWing.Mosquito.obj
;bob:Aircraft.Bf-108B-2;Aircraft;Air+FixedWing;Bf-108B-2;Bf108 B2;FixedWing.PC-21.obj
;tobruk:Aircraft.Bf-108B-2_Trop;Aircraft;Air+FixedWing;Bf-108B-2_Trop;Bf108 B2;FixedWing.PC-21.obj
;bob:Aircraft.Bf-109E-1;Aircraft;Air+FixedWing;Bf-109E-1;Bf109 E1;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-1B;Aircraft;Air+FixedWing;Bf-109E-1B;Bf109 E1;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-3;Aircraft;Air+FixedWing;Bf-109E-3;Bf109 E3;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-3B;Aircraft;Air+FixedWing;Bf-109E-3B;Bf109 E3;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-4;Aircraft;Air+FixedWing;Bf-109E-4;Bf109 E4;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-4_Late;Aircraft;Air+FixedWing;Bf-109E-4_Late;Bf109 E4;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-4B;Aircraft;Air+FixedWing;Bf-109E-4B;Bf109 E4;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-4B_Late;Aircraft;Air+FixedWing;Bf-109E-4B_Late;Bf109 E4;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-4N;Aircraft;Air+FixedWing;Bf-109E-4N;Bf109 E4;FixedWing.Bf 109.obj
;bob:Aircraft.Bf-109E-4N_Late;Aircraft;Air+FixedWing;Bf-109E-4N_Late;Bf109 E4;FixedWing.Bf 109.obj
;tobruk:Aircraft.Bf-109E-7;Aircraft;Air+FixedWing;Bf-109E-7;Bf109 E7;FixedWing.Bf 109.obj
;tobruk:Aircraft.Bf-109E-7_Trop;Aircraft;Air+FixedWing;Bf-109E-7_Trop;Bf109 E7;FixedWing.Bf 109.obj
;tobruk:Aircraft.Bf-109E-7N;Aircraft;Air+FixedWing;Bf-109E-7N;Bf109 E7;FixedWing.Bf 109.obj
;tobruk:Aircraft.Bf-109E-7N_Trop;Aircraft;Air+FixedWing;Bf-109E-7N_Trop;Bf109 E7;FixedWing.Bf 109.obj
;tobruk:Aircraft.Bf-109E-7Z;Aircraft;Air+FixedWing;Bf-109E-7Z;Bf109 E7;FixedWing.Bf 109.obj
;tobruk:Aircraft.Bf-109F-1;Aircraft;Air+FixedWing;Bf-109F-1;Bf109 F1;FixedWing.Bf 109.obj
;tobruk:Aircraft.Bf-109F-2;Aircraft;Air+FixedWing;Bf-109F-2;Bf109 F2;FixedWing.Bf 109.obj
;tobruk:Aircraft.Bf-109F-2_Late;Aircraft;Air+FixedWing;Bf-109F-2_Late;Bf109 F2;FixedWing.Bf 109.obj
