2020-09-06 20:10:06Z
Can view with text editor or Excel (tab-delimited text file). If you open in Excel, save immediately with a new name so you don't block this file being re-written by a new mission.
ID	Name	AttackingArmy	OwnerArmy	IsEnabled	MOObjectiveType	MOTriggerType	IsPrimaryTarget	PrimaryTargetWeight	Points	Destroyed	Pos.x	Pos.y	Sector	RadarEffectiveRadius	TriggerName	TriggerType	TriggerPercent	TriggerDestroyRadius	StaticPercentageRequired	StaticRemoveDelay_sec	StaticRemoveSpread_sec	Comment	HUDMessage	LOGMessage	StaticNames	StaticRemoveNames
Tobruk_No3_LG146_spawn	Tobruk_No3_LG146	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	157257.5	182713.8	AO18.3.7	0			0	0	0	0	0	Auto-generated from in-game airports list				
Martuba_No2_spawn	Martuba_No2 Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	46823.77	233079.7	AD23.3.7	0			0	0	0	0	0	Auto-generated from in-game airports list				
Martuba_No1_spawn	Martuba_No1 Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	36565.68	237337.1	AC23.8.3	0			0	0	0	0	0	Auto-generated from in-game airports list				
Martuba_No3_spawn	Martuba_No3 Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	41093.18	237158.1	AD23.7.1	0			0	0	0	0	0	Auto-generated from in-game airports list				
Martuba_No4_spawn	Martuba_No4 Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	33501.22	239054	AC23.8.7	0			0	0	0	0	0	Auto-generated from in-game airports list				
Tmimi_No2_Emg_spawn	Tmimi_No2_Emg Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	66818.52	211611	AF21.3.4	0			0	0	0	0	0	Auto-generated from in-game airports list				
Tmimi_No1_spawn	Tmimi_No1 Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	67586.05	210537.7	AF21.3.1	0			0	0	0	0	0	Auto-generated from in-game airports list				
Gazala_No1_LG149_spawn	Gazala_No1_LG149	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	98822.27	198307.9	AI19.9.5	0			0	0	0	0	0	Auto-generated from in-game airports list				
Gazalal No.2 Airfield_spawn	Gazalal No.2 Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	106030.4	193627.7	AJ19.5.3	0			0	0	0	0	0	Auto-generated from in-game airports list				
Gazala_No3_LG152_spawn	Gazala_No3_LG152	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	108423.7	193050.1	AJ19.3.8	0			0	0	0	0	0	Auto-generated from in-game airports list				
Tobruk_No1_spawn	Tobruk_No1 Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	161238.5	187091	AP18.7.2	0			0	0	0	0	0	Auto-generated from in-game airports list				
Gambut_No1_LG139_spawn	Gambut_No1_LG139	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	211521.7	162607	AU16.1.8	0			0	0	0	0	0	Auto-generated from in-game airports list				
Gambut_No3_LG143_Bir_el_Arca_spawn	Gambut_No3_LG143_Bir_el_Arca	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	220702.8	160255.6	AV16.1.1	0			0	0	0	0	0	Auto-generated from in-game airports list				
Bir_el_Baheira_No2_spawn	Bir_el_Baheira_No2 Airfield	1	2	True	Airfield	Airfield	False	0	1	Destroyed: False	Scouted: False	236410.1	156137.8	AW15.5.9	0			0	0	0	0	0	Auto-generated from in-game airports list				
